"cell","left","top","right","bottom","GD_mean","GD_median","nb_species","nb_indv_mean","nb_indv_median","nb_indv_sd"
3538,-7.9675304452e6,4.6577698635e6,-7.7675304452e6,4.4577698635e6,0.0,0.0,1,2.0,2.0,NaN
3539,-7.9675304452e6,4.8577698635e6,-7.7675304452e6,4.6577698635e6,0.0140781064482784,0.01973943181927283,3,3.3333333333333335,3.0,0.5773502691896258
3540,-7.9675304452e6,5.0577698635e6,-7.7675304452e6,4.8577698635e6,0.013312651907899358,0.004952403352999209,26,4.6923076923076925,4.0,3.3558215777270495
3541,-7.9675304452e6,5.2577698635e6,-7.7675304452e6,5.0577698635e6,0.005366587761879615,0.0035257426296455147,8,4.5,5.0,1.4142135623730951
3542,-7.9675304452e6,5.4577698635e6,-7.7675304452e6,5.2577698635e6,0.015337423312883437,0.0,3,2.6666666666666665,3.0,0.5773502691896258
3587,-7.7675304452e6,-342230.1365,-7.5675304452e6,-542230.1365,0.0,0.0,1,9.0,9.0,NaN
3603,-7.7675304452e6,2.8577698635e6,-7.5675304452e6,2.6577698635e6,0.009259259259259259,0.009259259259259259,1,2.0,2.0,NaN
3605,-7.7675304452e6,3.2577698635e6,-7.5675304452e6,3.0577698635e6,0.0,0.0,1,2.0,2.0,NaN
3610,-7.7675304452e6,4.2577698635e6,-7.5675304452e6,4.0577698635e6,0.013206414126659526,0.0015337423312883436,7,3.142857142857143,2.0,1.6761634196950517
3611,-7.7675304452e6,4.4577698635e6,-7.5675304452e6,4.2577698635e6,0.0024088262262848934,0.0006901840490797546,10,3.3,3.0,1.4181364924121764
3612,-7.7675304452e6,4.6577698635e6,-7.5675304452e6,4.4577698635e6,0.0026657902424773593,0.0010224948875255625,7,3.0,3.0,0.816496580927726
3613,-7.7675304452e6,4.8577698635e6,-7.5675304452e6,4.6577698635e6,0.006532782093571472,0.0010224948875255625,3,2.3333333333333335,2.0,0.5773502691896258
3614,-7.7675304452e6,5.0577698635e6,-7.5675304452e6,4.8577698635e6,0.00859053678813879,0.003067484662576687,21,7.333333333333333,3.0,9.697078597873348
3615,-7.7675304452e6,5.2577698635e6,-7.5675304452e6,5.0577698635e6,0.007503883856558071,0.0020576131687242796,11,8.454545454545455,4.0,11.758942438532783
3616,-7.7675304452e6,5.4577698635e6,-7.5675304452e6,5.2577698635e6,0.005099693251533742,0.0062372188139059315,4,3.75,3.5,0.9574271077563381
3663,-7.5675304452e6,57769.86349999998,-7.3675304452e6,-142230.13650000002,0.0015432098765432098,0.0015432098765432098,1,2.0,2.0,NaN
3685,-7.5675304452e6,4.4577698635e6,-7.3675304452e6,4.2577698635e6,0.008265167007498296,0.011503067484662574,3,3.3333333333333335,3.0,0.5773502691896258
