"","cell","x","y","GD_mean","GD_median","nb_species","nb_indv_mean","nb_indv_median","nb_indv_sd","ISO3","Cell","cloMeanVal","cloMinVal","cloMaxVal","bathyVal","AP","HDI_2015","fshD","O2","SST","VEL","is_marine","SlopeAbsMin","SlopeAvgMin","SlopeAbsMax","SlopeAvgMax","SlopeRange","SlopeAvg","FlowAcc"
"281",4835,-4267530.4452,-2442230.1365,0.0294633738592592,0.00930668508281238,24,5.125,5,2.60955601754315,"BRA","Land",NA,NA,NA,808.244172670582,TRUE,"0.754",0.051812975,4.52537396092381,21.2826210672421,4.82958033621311,0,0,23.9023617055001,2720,755.723728007608,731.897606593755,218.159296243462,3571.11174512601
"282",4836,-4267530.4452,-2242230.1365,0.0244991927198705,0.00266615779664398,39,3.69230769230769,2,3.96798932348048,"BRA","Land",NA,NA,NA,798.845401809257,TRUE,"0.754",0.051812975,4,21.7282385692248,5.31368924384631,0,0,24.63552,2000,691.65168,667.13856,205.08528,6846.13792
"283",4837,-4267530.4452,-2042230.1365,0.0196866668189197,0.00256739988719684,29,3.24137931034483,3,1.35370318580955,"BRA","Land",NA,NA,NA,664.566862321079,TRUE,"0.754",0.051812975,NA,22.2948879567273,5.46602512777111,0,0,14.5122597746852,2000,455.713055003313,441.242876076872,125.943008614977,12565.0283300199
"284",4838,-4267530.4452,-1842230.1365,0.0142611486310963,0.0152010435407473,4,3.25,3,1.5,"BRA","Land",NA,NA,NA,590.828338997014,TRUE,"0.754",0.051812975,NA,22.7883500537254,5.42547879603405,0,0,6.99405526992288,2025,408.943284061697,402.04161311054,81.6153598971722,13167.4330012853
"285",4839,-4267530.4452,-1642230.1365,0.0289431227562647,0.00463379373303566,13,3.69230769230769,3,2.21301511459725,"BRA","Land",NA,NA,NA,619.959631271199,TRUE,"0.754",0.051812975,NA,23.4233172594254,5.67483127025659,0,0,7.06732162989209,2025,337.422129167338,330.386857787083,73.8982122725076,15527.3253341923
"286",4843,-4267530.4452,-842230.1365,0.00926671670287768,0,13,4.23076923076923,4,2.97640292282049,"BRA","Land",NA,NA,NA,285.990255759882,FALSE,"0.754",0.051812975,4,25.6773250741733,5.67346992865151,0,0,13.3290043290043,919,374.349090909091,361.055064935065,122.775411255411,8063.99584415584
"287",4844,-4267530.4452,-642230.1365,0.0136691239247793,0.000934035925134486,29,8,7,6.3358391032962,"BRA","Land",NA,NA,NA,133.033488451159,FALSE,"0.754",0.051812975,4,25.9254681454021,5.86143859320558,0,0,8.32438982170677,686,201.71542323005,193.463562402631,69.1391725809244,2807.52535918297
"288",4845,-4267530.4452,-442230.1365,0.00302924610867784,0,27,4.37037037037037,4,2.66238973261224,"BRA","Land",9.6633636301214,8.86772719296542,10.6327272761952,43.3554003247031,TRUE,"0.754",0.051812975,4,26.0956167962987,6.29635197331518,0,0,3.25069013112491,812,141.032953761215,137.749309868875,35.7353347135956,6571.13008971705
"289",4907,-4067530.4452,-2842230.1365,0.0323449253857411,0.0257320566043808,3,8,5,6.08276253029822,"BRA","Sea",1.96956179420767,1.19445787853656,2.89163484470396,72.8155169698401,TRUE,"0.754",0.051812975,4.21292812908183,20.4908381679026,3.97691296735673,0,0,32.4402491241728,2816,1153.52549630206,1121.25340599455,365.072012456209,807.202024133904
"290",4908,-4067530.4452,-2642230.1365,0.0198392019181961,0.00481700701825129,10,4.1,4.5,1.79195734076208,"BRA","Land",21.5666669209798,7.23999993006388,36.4206663767497,453.639693100761,TRUE,"0.754",0.051812975,4.20170308710886,20.9374483940355,4.63679491430711,0,0,27.6040880503145,2388,1083.13726415094,1055.62562893082,314.405660377359,2677.26682389937
