cell,ISO3,Cell,cloMeanVal,cloMinVal,cloMaxVal,bathyVal,AP,HDI_2015,fshD
3595,PAN,Land,1.13600344400981,0.621565518348381,2.26175862036902,-197.245059956088,TRUE,0.788,0.099482169
3603,CUB,Land,3.93615787910667,2.50861132567228,6.33893524354648,-203.035058795487,TRUE,0.775,0.28860802
3605,BHS,Sea,0.814458518716055,0.553893012625031,1.21886899735469,-326.581013492556,TRUE,0.792,0.427934106
3606,BHS,Sea,0.556957357410175,0.360000000063227,0.824328358160026,-351.998432961321,TRUE,0.792,0.427934106
3609,USA,Sea,1.7631060609387,1.2866792933959,2.4641287867168,-49.8074461160133,TRUE,0.920,0.05036092
3610,USA,Land,4.36492855208261,2.68142856870379,6.63928576878139,66.8155241935484,TRUE,0.920,0.05036092
3611,USA,Land,NA,NA,NA,253.548906271632,TRUE,0.920,0.05036092
3612,USA,Land,NA,NA,NA,603.558746119584,TRUE,0.920,0.05036092
3613,USA,Land,NA,NA,NA,452.926730920535,TRUE,0.920,0.05036092
3614,USA,Land,NA,NA,NA,278.668053086106,TRUE,0.920,0.05036092
3615,CAN,Land,NA,NA,NA,278.079755918067,TRUE,0.920,0.072074993
3616,CAN,Land,NA,NA,NA,297.518071579939,TRUE,0.920,0.072074993
3617,CAN,Land,NA,NA,NA,286.999789254805,TRUE,0.920,0.072074993
3643,CHL,Sea,0.242273043005363,0.172495652463125,0.324203477605529,-3885.52749665328,FALSE,0.847,0.088980488
3655,PER,Sea,3.45601860756098,1.07636046984861,7.03897674721341,-1762.98489293963,TRUE,0.740,0.17779782
3656,PER,Land,4.00744444635179,1.03533332884312,8.40114665561252,1033.65074959524,TRUE,0.740,0.17779782
3663,ECU,Land,NA,NA,NA,1368.3680466547,FALSE,0.739,0.146381526
3669,PAN,Sea,0.945488569651331,0.497282855979034,1.82093142603125,-787.243339851553,TRUE,0.788,0.099482169
3679,BHS,Sea,0.623749998138576,0.435696722588456,0.903629099079942,-1342.63326382453,TRUE,0.792,0.427934106
3681,USA,Sea,0.0953200000930916,0.0582181818105958,0.15907272731716,-1595.62611375735,FALSE,0.920,0.05036092
3682,USA,Sea,0.11461454548619,0.0645654548636892,0.19006909080527,-1569.39482701448,FALSE,0.920,0.05036092
3684,USA,Land,5.24823382475393,3.62556834845877,7.01160797240923,-1.63254773479885,TRUE,0.920,0.05036092
